TERYT,Jednostka terytorialna,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,w tym umieszczonych w części A spisu wyborców,w tym umieszczonych w części B spisu wyborców,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania",w tym w części A spisu wyborców,w tym w części B spisu wyborców,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,"Liczba wyborców, którym wysłano pakiety wyborcze",Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,w tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,w tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,w tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,w tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI - ZPOW-603-7/19,"KOALICYJNY KOMITET WYBORCZY LEWICA RAZEM - PARTIA RAZEM, UNIA PRACY, RSS - ZPOW-603-4/19",KOALICYJNY KOMITET WYBORCZY POLEXIT - KOALICJA - ZPOW-603-14/19,KOMITET WYBORCZY JEDNOŚĆ NARODU - ZPOW-603-11/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-603-5/19,KOMITET WYBORCZY RUCH PRAWDZIWA EUROPA - EUROPA CHRISTI - ZPOW-603-9/19,KOMITET WYBORCZY WIOSNA ROBERTA BIEDRONIA - ZPOW-603-8/19,KOMITET WYBORCZY WYBORCÓW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY - ZPOW-603-3/19,KOMITET WYBORCZY WYBORCÓW KUKIZ'15 - ZPOW-603-1/19,KOMITET WYBORCZY WYBORCÓW POLSKA FAIR PLAY BEZPARTYJNI GWIAZDOWSKI - ZPOW-603-6/19
021900,świdnicki,95155,124794,124777,17,40448,54707,54698,9,70,186,7,7,0,0,0,0,7,54710,7,0,54710,439,257,182,0,54271,22293,717,,,21574,,4718,2683,2286,
022000,trzebnicki,50631,66517,66508,9,21325,29304,29299,5,21,158,2,2,0,0,0,0,2,29307,2,0,29307,253,161,92,0,29054,11477,339,,,12725,,1807,1582,1124,
022100,wałbrzyski,33486,44766,44760,6,15668,17818,17818,0,29,236,4,3,0,0,0,0,3,17821,3,0,17821,182,96,86,0,17639,8096,239,,,6426,,1498,747,633,
022200,wołowski,29722,38587,38583,4,14486,15236,15233,3,13,59,0,0,0,0,0,0,0,15234,0,0,15234,164,104,60,0,15070,5647,194,,,7036,,855,820,518,
022300,wrocławski,82695,110356,110331,25,26736,55957,55943,14,23,346,3,3,0,0,0,0,3,55960,3,3,55957,300,164,136,0,55657,25045,662,,,19739,,4430,3239,2542,
022400,ząbkowicki,40283,52963,52957,6,19804,20479,20477,2,25,138,1,1,0,0,0,0,1,20480,1,2,20478,195,125,70,0,20283,7778,255,,,9718,,974,732,826,
022500,zgorzelecki,55310,71752,71749,3,27193,28117,28116,1,28,261,1,1,0,0,0,0,1,28117,1,2,28115,282,168,114,0,27833,11407,366,,,11440,,1641,1257,1722,
022600,złotoryjski,26936,34986,34982,4,13479,13456,13454,2,12,63,0,0,0,0,0,0,0,13457,0,0,13457,150,93,57,0,13307,5417,177,,,5870,,766,558,519,
026100,Jelenia Góra,48208,62671,62668,3,18132,30077,30076,1,29,329,10,9,0,0,0,0,9,30085,9,1,30084,217,112,105,0,29867,15844,383,,,9052,,2349,1338,901,
026200,Legnica,57236,75449,75444,5,23851,33384,33383,1,17,128,4,4,0,0,0,0,4,33382,4,1,33381,189,99,90,0,33192,14276,456,,,13315,,2442,1505,1198,
026400,Wrocław,368154,485846,485733,113,95710,272464,272402,62,231,3156,50,50,1,1,0,1,49,272486,46,30,272456,1276,637,639,0,271180,136307,4201,,,80244,,24248,15842,10338,
026500,Wałbrzych,65180,85857,85848,9,29121,36059,36051,8,45,125,9,9,1,0,0,0,8,36065,8,3,36062,220,117,103,0,35842,18437,512,,,11440,,2808,1298,1347,
040100,aleksandrowski,33965,45915,45912,3,15080,18885,18883,2,23,1493,2,2,0,0,0,0,2,18886,2,0,18886,212,115,97,0,18674,7390,216,,,8665,,999,637,767,
040200,brodnicki,46117,61052,61052,0,23001,23114,23114,0,12,108,1,1,0,0,0,0,1,23116,1,0,23116,247,163,84,0,22869,7293,209,,,10253,,859,524,3731,
040300,bydgoski,67222,89297,89293,4,27533,39689,39686,3,22,195,2,2,0,0,0,0,2,39690,2,3,39687,343,220,123,0,39344,19640,408,,,13225,,2681,1931,1459,
040400,chełmiński,30016,39462,39461,1,15481,14535,14534,1,22,33,2,2,0,0,0,0,2,14536,2,1,14535,148,97,51,0,14387,5918,195,,,6051,,920,563,740,
040500,golubsko-dobrzyński,27030,35680,35680,0,14358,12672,12672,0,11,38,3,3,0,0,0,0,3,12673,3,0,12673,133,82,51,0,12540,4102,164,,,6443,,632,404,795,
040600,grudziądzki,23404,31123,31122,1,13313,10091,10091,0,3,28,0,0,0,0,0,0,0,10091,0,0,10091,95,65,30,0,9996,3481,132,,,4999,,533,369,482,
040700,inowrocławski,97862,128129,128126,3,45086,52770,52767,3,46,374,3,3,1,0,0,0,2,52771,2,0,52771,495,353,142,0,52276,26431,466,,,20002,,2376,1645,1356,
040800,lipnowski,39190,52068,52066,2,21901,17289,17287,2,30,90,0,0,0,0,0,0,0,17289,0,1,17288,225,144,81,0,17063,6516,165,,,8690,,693,457,542,
040900,mogileński,27853,36851,36850,1,14457,13396,13396,0,9,63,1,1,0,0,0,0,1,13397,1,0,13397,157,95,62,0,13240,5489,141,,,5953,,694,515,448,
041000,nakielski,51141,67021,67020,1,24947,26195,26195,0,27,90,1,1,0,0,0,0,1,26196,1,2,26194,285,184,101,0,25909,12005,298,,,10614,,1246,865,881,
041100,radziejowski,25269,33644,33644,0,13706,11563,11563,0,32,72,0,0,0,0,0,0,0,11561,0,0,11561,152,100,52,0,11409,3430,140,,,6594,,546,316,383,
041200,rypiński,26234,34652,34652,0,14432,11802,11802,0,11,36,0,0,0,0,0,0,0,11802,0,0,11802,99,61,38,0,11703,3914,125,,,6156,,578,351,579,
041300,sępoleński,24226,31920,31920,0,12790,11436,11436,0,9,62,0,0,0,0,0,0,0,11436,0,0,11436,141,96,45,0,11295,4385,169,,,5127,,678,414,522,
041400,świecki,57848,76029,76028,1,30280,27569,27568,1,31,137,2,2,0,0,0,0,2,27569,2,4,27565,363,238,125,0,27202,11395,329,,,11746,,1611,1076,1045,
041500,toruński,60875,81074,81072,2,28446,32429,32428,1,23,96,2,2,0,0,0,0,2,32430,2,0,32430,276,178,98,0,32154,13839,404,,,13135,,2049,1371,1356,
041600,tucholski,28293,37665,37660,5,13260,15033,15029,4,16,128,0,0,0,0,0,0,0,15031,0,0,15031,216,151,65,0,14815,5218,140,,,7608,,657,624,568,
041700,wąbrzeski,20235,26767,26767,0,11181,9054,9054,0,9,25,0,0,0,0,0,0,0,9054,0,0,9054,96,62,34,0,8958,3599,137,,,3863,,564,337,458,
041800,włocławski,52479,69976,69975,1,28960,23520,23519,1,30,426,1,1,0,0,0,0,1,23520,1,0,23520,309,196,113,0,23211,8075,319,,,12036,,1273,693,815,
041900,żniński,41745,55186,55185,1,21115,20630,20629,1,12,88,0,0,0,0,0,0,0,20629,0,0,20629,296,198,98,0,20333,8491,222,,,9146,,1086,738,650,
046100,Bydgoszcz,202006,262817,262803,14,67337,134674,134664,10,102,709,42,41,0,0,0,0,41,134706,41,0,134706,673,344,329,0,134033,71087,1348,,,43345,,8692,5688,3873,
046200,Grudziądz,54540,69974,69971,3,25943,28597,28595,2,20,106,3,3,0,0,0,0,3,28596,3,2,28594,185,114,71,0,28409,14835,285,,,9587,,1907,947,848,
046300,Toruń,114361,150200,150194,6,36195,78172,78167,5,58,599,20,20,0,0,0,0,20,78198,20,15,78183,423,229,194,0,77760,40496,1113,,,24951,,5504,3283,2413,
046400,Włocławek,66751,87059,87058,1,30431,36320,36319,1,31,133,5,5,0,0,0,0,5,36323,5,3,36320,268,155,113,0,36052,18333,408,,,12219,,2634,1475,983,
060100,bialski,68726,90071,90070,1,31092,37635,37634,1,49,342,3,3,1,0,0,0,2,37635,2,0,37635,550,321,156,73,37085,9899,195,,,23322,,677,1393,1353,246
060200,biłgorajski,63829,83028,83028,0,27584,36245,36245,0,59,196,1,1,0,0,0,0,1,36245,1,0,36245,390,216,123,51,35855,7295,179,,,24339,,751,1629,1503,159
060300,chełmski,48492,63557,63554,3,26231,22261,22261,0,21,95,1,1,0,0,0,0,1,22262,1,0,22262,366,238,85,43,21896,4815,199,,,14491,,607,880,777,127
060400,hrubieszowski,41437,53634,53634,0,21871,19565,19565,0,26,134,0,0,0,0,0,0,0,19567,0,0,19567,258,146,79,33,19309,4591,130,,,12408,,486,608,992,94
060500,janowski,28868,37690,37690,0,10549,18319,18319,0,37,57,0,0,0,0,0,0,0,18316,0,0,18316,207,87,48,72,18109,2432,88,,,14047,,230,728,511,73
060600,krasnostawski,41725,53806,53805,1,20593,21131,21130,1,46,97,4,4,2,0,0,0,2,21132,2,2,21130,295,161,87,47,20835,5166,153,,,13056,,667,881,787,125
060700,kraśnicki,59864,77717,77715,2,26235,33630,33630,0,57,116,0,0,0,0,0,0,0,33630,0,1,33629,443,237,141,65,33186,7821,259,,,21712,,786,1248,1184,176
060800,lubartowski,54645,71112,71108,4,24004,30639,30636,3,45,126,0,0,0,0,0,0,0,30638,0,2,30636,357,208,96,53,30279,6826,207,,,19676,,891,1386,1041,252
060900,lubelski,93134,122059,122055,4,37639,55493,55489,4,44,205,0,0,0,0,0,0,0,55489,0,4,55485,577,284,166,127,54908,14685,331,,,33182,,1461,2694,2109,446
061000,łęczyński,34526,44753,44751,2,16130,18394,18393,1,8,67,0,0,0,0,0,0,0,18394,0,0,18394,200,128,47,25,18194,4309,113,,,11397,,526,992,714,143
061100,łukowski,64426,84224,84223,1,28288,36148,36148,0,29,111,2,2,0,0,0,0,2,36147,2,1,36146,516,274,179,63,35630,6168,263,,,25558,,758,1415,1258,210
061200,opolski,38063,49181,49180,1,18776,19284,19283,1,15,81,0,0,0,0,0,0,0,19283,0,0,19283,250,149,64,37,19033,4376,113,,,12225,,501,714,995,109
061300,parczewski,22031,28781,28781,0,10388,11643,11643,0,14,77,1,0,0,0,0,0,0,11643,0,2,11641,157,97,40,20,11484,2978,82,,,6986,,290,518,561,69
061400,puławski,72599,93941,93938,3,29219,43380,43378,2,70,777,8,8,0,0,1,0,7,43385,7,0,43385,495,236,189,70,42890,12833,403,,,23772,,1832,2037,1637,376
061500,radzyński,37055,48233,48233,0,17063,19992,19992,0,21,72,0,0,0,0,0,0,0,19992,0,0,19992,233,132,51,50,19759,3960,107,,,13628,,415,823,648,178
061600,rycki,34771,45540,45540,0,14701,20070,20070,0,27,99,0,0,0,0,0,0,0,20070,0,0,20070,224,118,75,31,19846,4932,162,,,12277,,788,753,833,101
061700,świdnicki,44455,57430,57429,1,18702,25753,25752,1,33,100,0,0,0,0,0,0,0,25751,0,0,25751,246,143,72,31,25505,7263,234,,,14492,,933,1531,881,171
061800,tomaszowski,53582,69666,69664,2,26118,27464,27463,1,44,143,0,0,0,0,0,0,0,27464,0,1,27463,354,194,99,61,27109,5639,174,,,17817,,628,968,1752,131
061900,włodawski,24869,32356,32354,2,11841,13038,13037,1,28,171,0,0,0,0,0,0,0,13036,0,0,13036,196,111,69,16,12840,4211,111,,,7066,,438,488,445,81
062000,zamojski,68115,88836,88832,4,31702,36411,36408,3,62,279,0,0,0,0,0,0,0,36412,0,1,36411,460,265,134,61,35951,6394,203,,,25076,,848,1251,2005,174
066100,Biała Podlaska,35217,45553,45551,2,14203,21005,21003,2,32,73,2,2,0,0,0,0,2,21016,2,3,21013,134,57,44,33,20879,8490,101,,,10090,,536,974,569,119
066200,Chełm,39841,51246,51244,2,17664,22176,22176,0,15,67,2,2,0,0,0,0,2,22179,2,0,22179,215,120,65,30,21964,8235,151,,,10580,,986,968,921,123
066300,Lublin,203983,262001,261985,16,68381,135603,135591,12,144,1110,28,28,0,0,0,0,28,135619,28,20,135599,837,319,314,204,134762,57378,1179,,,57754,,5734,6956,4504,1257
066400,Zamość,39926,51665,51665,0,17172,22754,22754,0,14,192,2,2,0,0,0,0,2,22754,2,0,22754,193,88,51,54,22561,7696,165,,,11188,,923,871,1587,131
080100,gorzowski,42149,54824,54821,3,20401,21749,21747,2,14,89,0,0,0,0,0,0,0,21748,0,0,21748,223,135,88,0,21525,9744,253,,,8414,,1634,847,633,
080200,krośnieński,33426,43457,43449,8,17869,15557,15551,6,20,91,0,0,0,0,0,0,0,15557,0,0,15557,176,112,64,0,15381,7266,188,,,5548,,1131,624,624,
080300,międzyrzecki,35661,46260,46255,5,17808,17853,17853,0,19,135,2,2,0,0,0,0,2,17852,2,0,17852,237,155,82,0,17615,8383,212,,,6576,,1202,638,604,
080400,nowosolski,51437,66826,66822,4,24943,26489,26487,2,28,91,7,7,1,0,0,0,6,26495,6,4,26491,220,133,87,0,26271,11766,249,,,10860,,1563,1002,831,
080500,słubicki,27808,36204,36197,7,14467,13341,13337,4,16,122,0,0,0,0,0,0,0,13338,0,0,13338,168,105,63,0,13170,6506,135,,,4689,,946,492,402,
080600,strzelecko-drezdenecki,29707,38965,38964,1,15899,13808,13807,1,14,88,2,2,0,0,0,0,2,13810,2,4,13806,150,97,53,0,13656,6046,160,,,5866,,783,430,371,
080700,sulęciński,21362,27628,27626,2,11403,9959,9959,0,17,81,1,1,0,0,0,0,1,9958,1,0,9958,122,82,40,0,9836,4016,125,,,4380,,627,394,294,
080800,świebodziński,33755,43517,43514,3,16837,16918,16917,1,7,115,12,12,0,0,0,0,12,16930,12,2,16928,143,80,63,0,16785,7626,244,,,6478,,1124,731,582,
080900,zielonogórski,45730,59117,59115,2,22391,23339,23339,0,18,108,2,2,0,0,0,0,2,23341,2,2,23339,241,151,90,0,23098,11184,298,,,8144,,1755,929,788,
081000,żagański,47829,62005,62004,1,25412,22416,22416,0,18,84,2,2,0,0,0,0,2,22417,2,0,22417,173,113,60,0,22244,9671,268,,,9410,,1395,807,693,
081100,żarski,58563,75590,75584,6,30766,27797,27794,3,21,90,3,2,0,0,0,0,2,27799,2,0,27799,226,134,92,0,27573,12065,387,,,10577,,2135,1231,1178,
081200,wschowski,23473,30535,30533,2,12495,10978,10977,1,7,111,0,0,0,0,0,0,0,10977,0,1,10976,125,89,36,0,10851,3786,141,,,5538,,641,419,326,
086100,Gorzów Wielkopolski,72771,93916,93915,1,28927,43841,43841,0,40,172,4,4,0,0,0,0,4,43841,4,0,43841,230,112,118,0,43611,21935,509,,,14986,,3292,1762,1127,
086200,Zielona Góra,82238,106022,106018,4,27182,55055,55053,2,48,256,5,5,1,0,0,0,5,55053,5,4,55049,243,116,127,0,54806,31220,521,,,14836,,4574,2007,1648,
100100,bełchatowski,69994,90030,90029,1,29144,40850,40850,0,27,125,0,0,0,0,0,0,0,40848,0,0,40848,350,216,134,0,40498,9141,774,,,24673,,1620,2709,1581,
100200,kutnowski,61460,79598,79595,3,29112,32344,32341,3,47,101,3,3,0,0,0,0,3,32348,3,0,32348,357,234,123,0,31991,10699,629,,,16799,,1621,1133,1110,
100300,łaski,31178,40817,40817,0,13288,17890,17890,0,15,92,0,0,0,0,0,0,0,17890,0,0,17890,167,103,64,0,17723,5554,316,,,9490,,997,739,627,
100400,łęczycki,32370,42065,42062,3,16478,15892,15891,1,16,52,0,0,0,0,0,0,0,15892,0,4,15888,183,108,75,0,15705,4409,332,,,9267,,622,575,500,
100500,łowicki,49441,64271,64271,0,21654,27787,27787,0,12,94,1,1,0,0,0,0,1,27787,1,0,27787,293,190,103,0,27494,7958,411,,,15763,,983,1068,1311,
100600,łódzki wschodni,43519,56691,56691,0,14757,28862,28862,0,18,135,0,0,0,0,0,0,0,28862,0,0,28862,190,122,68,0,28672,10836,548,,,13315,,1558,1303,1112,
100700,opoczyński,47372,61767,61766,1,18404,28968,28968,0,47,125,2,2,0,0,0,0,2,28970,2,1,28969,281,180,101,0,28688,5422,497,,,19807,,771,1071,1120,
100800,pabianicki,72646,94580,94576,4,26042,46604,46602,2,75,126,1,1,0,0,0,0,1,46588,1,16,46572,333,183,150,0,46239,19441,855,,,18682,,3462,2062,1737,
100900,pajęczański,32366,42236,42235,1,14417,17948,17948,0,29,76,0,0,0,0,0,0,0,17946,0,1,17945,182,105,77,0,17763,3515,281,,,11570,,656,668,1073,
101000,piotrkowski,55889,73206,73204,2,23942,31947,31947,0,30,159,0,0,0,0,0,0,0,31944,0,0,31944,293,173,120,0,31651,6124,529,,,21499,,997,1263,1239,
101100,poddębicki,25789,33783,33783,0,12082,13708,13708,0,12,81,0,0,0,0,0,0,0,13708,0,1,13707,157,99,58,0,13550,3974,278,,,7810,,550,487,451,
101200,radomszczański,70583,92131,92129,2,33152,37434,37434,0,40,194,4,3,0,0,0,0,3,37437,3,0,37437,355,232,123,0,37082,10454,652,,,20811,,2343,1329,1493,
101300,rawski,29883,39058,39058,0,13530,16351,16351,0,9,51,0,0,0,0,0,0,0,16348,0,4,16344,169,103,66,0,16175,3914,331,,,9890,,553,915,572,
101400,sieradzki,73939,95547,95546,1,33050,40888,40888,0,29,153,3,3,0,0,0,0,3,40887,3,2,40885,448,277,171,0,40437,11533,844,,,23017,,1930,1722,1391,
101500,skierniewicki,23383,30600,30597,3,10146,13236,13236,0,10,44,0,0,0,0,0,0,0,13236,0,0,13236,153,90,63,0,13083,2371,272,,,8986,,422,531,501,
101600,tomaszowski,71306,92725,92724,1,29525,41780,41779,1,28,188,0,0,0,0,0,0,0,41772,0,1,41771,387,232,155,0,41384,13149,840,,,22295,,1961,1565,1574,
101700,wieluński,47701,62056,62050,6,20804,26897,26897,0,19,131,0,0,0,0,0,0,0,26897,0,2,26895,275,161,114,0,26620,7699,567,,,15102,,1354,892,1006,
101800,wieruszowski,25977,33942,33941,1,12189,13787,13787,0,15,52,0,0,0,0,0,0,0,13785,0,0,13785,171,106,65,0,13614,3660,234,,,7857,,672,601,590,
101900,zduńskowolski,40280,52568,52565,3,16758,23520,23519,1,21,76,1,1,0,0,0,0,1,23522,1,1,23521,180,107,73,0,23341,7864,387,,,11915,,1345,1001,829,
102000,zgierski,101075,131388,131378,10,37757,63314,63311,3,53,222,6,5,0,0,0,0,5,63312,5,2,63310,456,275,181,0,62854,26580,1286,,,26388,,3911,2479,2210,
102100,brzeziński,18966,24720,24720,0,8114,10852,10852,0,20,36,0,0,0,0,0,0,0,10852,0,0,10852,111,66,45,0,10741,3125,220,,,6039,,496,407,454,
106100,Łódź,417161,530752,530723,29,134363,283038,283016,22,214,1271,55,55,1,2,0,0,53,282953,52,45,282908,1381,744,637,0,281527,151976,5775,,,85179,,19212,11281,8104,
106200,Piotrków Trybunalski,45339,58353,58352,1,17684,27650,27650,0,28,123,2,2,0,0,0,0,2,27646,2,7,27639,173,95,78,0,27466,10586,588,,,12346,,1572,1253,1121,
106300,Skierniewice,28746,37368,37362,6,10295,18444,18442,2,14,56,2,2,0,0,0,0,2,18451,2,1,18450,162,82,80,0,18288,7636,403,,,7546,,1088,845,770,
120100,bocheński,63599,83202,83199,3,22810,40789,40787,2,47,209,2,2,0,0,0,0,2,40789,2,2,40787,362,215,147,0,40425,7616,282,125,,27731,,1282,1586,1531,272
120200,brzeski,56266,73688,73686,2,22599,33667,33666,1,24,150,1,1,0,0,0,0,1,33667,1,1,33666,341,208,133,0,33325,5966,200,126,,22980,,838,1689,1316,210
120300,chrzanowski,76422,99359,99357,2,30155,46265,46263,2,39,122,3,3,0,0,0,0,3,46264,3,0,46264,404,234,170,0,45860,15673,602,219,,21719,,3080,1942,2218,407
120400,dąbrowski,36623,47614,47613,1,16856,19763,19762,1,8,69,0,0,0,0,0,0,0,19767,0,0,19767,223,144,79,0,19544,2930,138,50,,14551,,353,752,679,91
120500,gorlicki,66513,87066,87065,1,27790,38723,38723,0,39,393,9,9,0,0,0,1,8,38729,8,0,38729,359,237,122,0,38370,7359,267,105,,25210,,1074,1386,2500,469
120600,krakowski,164271,216135,216120,15,57069,107202,107195,7,99,521,7,7,1,0,0,0,6,107197,6,7,107190,886,524,362,0,106304,31224,1012,374,,57461,,5524,5043,4695,971
120700,limanowski,76397,100107,100104,3,27725,48672,48671,1,50,253,3,3,0,0,2,0,1,48673,1,0,48673,490,294,196,0,48183,5724,271,115,,37668,,852,1660,1638,255
120800,miechowski,30747,40194,40192,2,13637,17109,17108,1,25,83,0,0,0,0,0,0,0,17109,0,0,17109,189,115,74,0,16920,3582,172,59,,11051,,665,645,648,98
120900,myślenicki,74543,98151,98149,2,25791,48750,48748,2,30,231,9,9,0,0,0,0,9,48757,9,6,48751,450,251,199,0,48301,9104,357,135,,32617,,1571,2046,2068,403
121000,nowosądecki,126882,166820,166816,4,42764,84118,84115,3,85,1823,1,1,0,0,0,0,1,84114,1,1,84113,820,496,324,0,83293,11202,447,247,,63539,,1729,2937,2761,431
121100,nowotarski,114340,150235,150232,3,51185,63153,63152,1,70,992,5,5,0,0,0,0,5,63157,5,0,63157,709,427,282,0,62448,10901,454,256,,43871,,1610,2590,2405,361
121200,olkuski,69337,90184,90184,0,27126,42211,42211,0,34,153,3,3,0,0,0,0,3,42213,3,1,42212,377,241,136,0,41835,11128,1878,144,,22436,,2177,1734,1981,357
121300,oświęcimski,93170,122042,122038,4,32577,60592,60589,3,103,160,4,4,0,0,0,0,4,60593,4,0,60593,566,333,233,0,60027,20233,642,274,,30726,,2900,2211,2520,521
